Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Salah Mejri,Tunisia,Black,2016,2016,C,7-1,245,"June 15, 1986",
Gal Mekel,Israel,White,2014,2015,G,6-3,191,"March 4, 1988",Wichita State University
Fab Melo,Brazil,Black,2013,2013,C,7-0,255,"June 20, 1990",Syracuse University
Pops Mensah-Bonsu,United Kingdom,Black,2007,2011,F,6-9,240,"September 7, 1983",George Washington University
Ron Mercer,Tennessee,Black,1998,2005,G-F,6-7,210,"May 18, 1976",University of Kentucky
Joe Meriweather,Alabama,Black,1976,1985,C-F,6-10,215,"October 26, 1953",Southern Illinois University
Loren Meyer,Iowa,White,1996,1999,C,6-10,257,"December 30, 1972",Iowa State University
Larry Micheaux,Texas,Black,1984,1985,F,6-9,220,"March 24, 1960",University of Houston
Jordan Mickey,Texas,Black,2016,2016,F,6-8,235,"July 9, 1994",Louisiana State University
Khris Middleton,South Carolina,Black,2013,2016,F-G,6-8,234,"August 12, 1991",Texas A&M University
Chris Mihm,Wisconsin,White,2001,2009,C,7-0,265,"July 16, 1979",University of Texas at Austin
Aaron Miles,Oregon,Black,2006,2006,G,6-1,175,"April 13, 1983",University of Kansas
C.J. Miles,Texas,Black,2006,2016,G-F,6-6,231,"April 18, 1987",
Darius Miles,Illinois,Black,2001,2009,F,6-9,210,"October 9, 1981",
Marko Milic,Slovenia,White,1998,1999,G-F,6-6,235,"May 7, 1977",
Darko Milicic,Serbia,White,2004,2013,F-C,7-0,250,"June 20, 1985",
Andre Miller,California,Black,2000,2016,G,6-3,200,"March 19, 1976",University of Utah
Anthony Miller,Michigan,Black,1995,2005,F,6-9,225,"October 22, 1971",Michigan State University
Brad Miller,Indiana,White,1999,2012,C,6-11,244,"April 12, 1976",Purdue University
Darius Miller,Kentucky,Black,2013,2015,F,6-8,235,"March 21, 1990",University of Kentucky
Mike Miller,South Dakota,White,2001,2016,F-G,6-8,218,"February 19, 1980",University of Florida
Oliver Miller,Texas,Black,1993,2004,C,6-9,280,"April 6, 1970",University of Arkansas
Quincy Miller,Illinois,Black,2013,2015,F,6-9,210,"November 18, 1992",Baylor University
Reggie Miller*,California,Black,1988,2005,G-F,6-7,185,"August 24, 1965","University of California, Los Angeles"
Chris Mills,California,Black,1994,2003,F,6-6,215,"January 25, 1970",University of Arizona
Patrick Mills,Australia,Black,2010,2016,G,6-0,185,"August 11, 1988",Saint Mary's College of California
Terry Mills,Michigan,Black,1991,2001,F,6-10,230,"December 21, 1967",University of Michigan
Elijah Millsap,Louisiana,Black,2015,2016,G-F,6-6,225,"August 12, 1987",University of Alabama at Birmingham
Paul Millsap,Louisiana,Black,2007,2016,F,6-8,246,"February 10, 1985",Louisiana Tech University
Harold Miner,California,Black,1993,1996,G,6-5,210,"May 5, 1971",University of Southern California
Yao Ming,China,Others,2003,2011,C,7-6,310,"September 12, 1980",
Dirk Minniefield,Kentucky,Black,1986,1988,G,6-3,180,"January 17, 1961",University of Kentucky
Greg Minor,Georgia,Black,1995,1999,G-F,6-6,210,"September 18, 1971",University of Louisville
Nikola Mirotic,Montenegro,White,2015,2016,F,6-10,220,"February 11, 1991",
Jason Miskiri,Guyana,Black,2000,2000,G,6-2,175,"August 19, 1975",George Mason University
Mike Mitchell,Georgia,Black,1979,1988,F,6-7,215,"January 1, 1956",Auburn University
Sam Mitchell,Georgia,Black,1990,2002,F,6-6,210,"September 2, 1963",Mercer University
Todd Mitchell,Ohio,Black,1989,1989,F,6-7,205,"July 26, 1966",Purdue University
Tony Mitchell,Georgia,Black,2014,2014,F,6-6,216,"August 7, 1989",University of Alabama
Tony Mitchell,Wisconsin,Black,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas
Cuttino Mobley,Pennsylvania,Black,1999,2009,G,6-4,190,"September 1, 1975",University of Rhode Island
Eric Mobley,New York,Black,1995,1997,C,6-11,235,"February 1, 1970",University of Pittsburgh
Nazr Mohammed,Illinois,Black,1999,2016,C,6-10,221,"September 5, 1977",University of Kentucky
Jerome Moiso,France,Black,2001,2005,F,6-10,235,"June 15, 1978","University of California, Los Angeles"
Paul Mokeski,Washington,White,1980,1991,C-F,7-0,250,"January 3, 1957",University of Kansas
Sidney Moncrief,Arkansas,Black,1980,1991,G,6-3,180,"September 21, 1957",University of Arkansas
Sergei Monia,Russian Federation,White,2006,2006,F,6-8,220,"April 15, 1983",
Greg Monroe,Louisiana,Black,2011,2016,C-F,6-11,265,"June 4, 1990",Georgetown University
Rodney Monroe,Maryland,Black,1992,1992,G,6-3,185,"April 16, 1968",North Carolina State University
Luis Montero,Dominican Republic,Black,2016,2016,G,6-7,185,"April 6, 1993",Westchester CC
Eric Montross,Indiana,White,1995,2002,C,7-0,270,"September 23, 1971",University of North Carolina
Jamario Moon,Alabama,Black,2008,2012,F,6-8,205,"June 13, 1980",Meridian Community College
Andre Moore,Illinois,Black,1988,1988,F,6-9,215,"July 2, 1964",Loyola University of Chicago
E'Twaun Moore,Indiana,Black,2012,2016,G,6-4,191,"February 28, 1989",Purdue University
Johnny Moore,Pennsylvania,Black,1981,1990,G,6-1,175,"March 3, 1958",University of Texas at Austin
Mikki Moore,South Carolina,Black,1999,2012,C,6-11,225,"November 4, 1975",University of Nebraska
Ron Moore,New York,Black,1988,1988,C,7-0,260,"January 16, 1962",West Virginia State University
Tracy Moore,Oklahoma,Black,1992,1997,G-F,6-4,200,"December 28, 1965",University of Tulsa
Eric Moreland,Texas,Black,2015,2016,F-C,6-10,238,"December 24, 1991",Oregon State University
Darren Morningstar,Washington,Black,1994,1994,C,6-10,235,"April 22, 1969",University of Pittsburgh
Chris Morris,Georgia,Black,1989,1999,F,6-8,210,"January 20, 1966",Auburn University
Darius Morris,California,Black,2012,2015,G,6-4,190,"January 3, 1991",University of Michigan
Isaiah Morris,Virginia,Black,1993,1993,F,6-8,229,"April 2, 1969",University of Arkansas
Marcus Morris,Pennsylvania,Black,2012,2016,F,6-9,235,"September 2, 1989",University of Kansas
Markieff Morris,Pennsylvania,Black,2012,2016,F,6-10,245,"September 2, 1989",University of Kansas
Randolph Morris,Texas,Black,2007,2010,C,6-10,266,"January 2, 1986",University of Kentucky
Terence Morris,Maryland,Black,2002,2006,F,6-9,221,"January 11, 1979",University of Maryland
Adam Morrison,Montana,White,2007,2010,F,6-8,205,"July 19, 1984",Gonzaga University
Mike Morrison,District of Columbia,Black,1990,1990,G,6-4,195,"August 16, 1967",Loyola College in Maryland
Anthony Morrow,North Carolina,Black,2009,2016,G,6-5,210,"September 27, 1985",Georgia Institute of Technology
Dwayne Morton,Kentucky,Black,1995,1995,F,6-7,195,"August 8, 1971",University of Louisville
John Morton,New York,Black,1990,1992,G,6-3,180,"May 18, 1967",Seton Hall University
Richard Morton,California,Black,1989,1989,G,6-3,190,"February 2, 1966","California State University, Fullerton"
Perry Moss,Arizona,Black,1986,1987,G,6-2,185,"November 11, 1958",Northeastern University
Lawrence Moten,District of Columbia,Black,1996,1998,G,6-5,185,"March 25, 1972",Syracuse University
Donatas Motiejunas,Lithuania,White,2013,2016,F-C,7-0,222,"September 20, 1990",
Hanno Mottola,Finland,White,2001,2002,C,6-11,247,"September 9, 1976",University of Utah
Arnett Moultrie,New York,Black,2013,2014,F,6-11,249,"November 18, 1990",Mississippi State University
Alonzo Mourning*,Virginia,Black,1993,2008,C,6-10,240,"February 8, 1970",Georgetown University
Timofey Mozgov,Russian Federation,White,2011,2016,C,7-1,275,"July 16, 1986",
Emmanuel Mudiay,Democratic Republic of the Congo,Black,2016,2016,G,6-5,200,"March 5, 1996",
Shabazz Muhammad,California,Black,2014,2016,G-F,6-6,223,"November 13, 1992","University of California, Los Angeles"
Byron Mullens,Ohio,White,2010,2014,C,7-0,275,"February 14, 1989",Ohio State University
Chris Mullin*,New York,White,1986,2001,F-G,6-6,200,"July 30, 1963",St. John's University
Todd Mundt,Iowa,Black,1996,1996,C,7-0,250,"May 17, 1970",Delta State University
Chris Munk,California,Black,1991,1991,F,6-9,225,"August 5, 1967",University of Southern California
Eric Murdock,New Jersey,Black,1992,2000,G,6-1,190,"June 14, 1968",Providence College
Gheorghe Muresan,Romania,White,1994,2000,C,7-7,303,"February 14, 1971",
Erik Murphy,France,White,2014,2014,F,6-10,230,"October 26, 1990",University of Florida
Jay Murphy,Connecticut,White,1985,1988,F,6-9,220,"June 26, 1962",Boston College
Kevin Murphy,Georgia,Black,2013,2013,G,6-6,185,"March 6, 1990",Tennessee Technological University
Ronnie Murphy,Delaware,Black,1988,1988,F,6-5,225,"July 29, 1964",Jacksonville University
Tod Murphy,California,White,1988,1994,C-F,6-9,220,"December 24, 1963","University of California, Irvine"
Troy Murphy,New Jersey,White,2002,2013,F,6-11,245,"May 2, 1980",University of Notre Dame
Lamond Murray,California,Black,1995,2006,F,6-7,236,"April 20, 1973",University of California
Ronald Murray,Pennsylvania,Black,2003,2010,G,6-4,190,"July 29, 1979",Shaw University
Tracy Murray,California,White,1993,2004,F,6-7,225,"July 25, 1971","University of California, Los Angeles"
Toure' Murry,Texas,Black,2014,2015,G-F,6-5,195,"November 8, 1989",Wichita State University
Mike Muscala,Minnesota,White,2014,2016,F-C,6-11,240,"July 1, 1991",Bucknell University
Jerrod Mustaf,North Carolina,Black,1991,1994,F-C,6-10,238,"October 28, 1969",University of Maryland
Dikembe Mutombo*,Democratic Republic of the Congo,Black,1992,2009,C,7-2,245,"June 25, 1966",Georgetown University
Martin Muursepp,Estonian,Black,1997,1998,F,6-9,235,"September 26, 1974",
Pete Myers,Alabama,Black,1987,1998,G-F,6-6,180,"September 15, 1963",University of Arkansas at Little Rock
Hamady N'Diaye,Senegal,Black,2011,2014,C,7-0,235,"January 12, 1987",Rutgers University
Makhtar N'Diaye,Senegal,Black,1999,1999,F,6-8,245,"December 12, 1973",University of North Carolina
Mamadou N'Diaye,Senegal,Black,2001,2005,C,7-0,255,"June 16, 1975",Auburn University
Boniface N'Dong,Senegal,Black,2006,2006,C,7-0,198,"March 9, 1977",
Bostjan Nachbar,Slovenia,White,2003,2008,F,6-9,221,"July 3, 1980",
Lee Nailon,Indiana,Black,2001,2006,F,6-9,238,"February 22, 1975",Texas Christian University
Eduardo Najera,Mexico,White,2001,2012,F,6-8,240,"July 11, 1976",University of Oklahoma
Larry Nance,South Carolina,Black,1982,1994,F-C,6-10,205,"February 12, 1959",Clemson University
Larry Nance Jr.,Ohio,Black and White,2016,2016,F,6-9,230,"January 1, 1993",University of Wyoming
Shabazz Napier,Massachusetts,Black,2015,2016,G,6-1,175,"July 14, 1991",University of Connecticut
Steve Nash,South Africa,White,1997,2014,G,6-3,195,"February 7, 1974",Santa Clara University
Howard Nathan,Illinois,Black and White,1996,1996,G,5-11,175,"January 21, 1972",University of Louisiana at Monroe
Calvin Natt,Louisiana,Black,1980,1990,F,6-6,220,"January 8, 1957",University of Louisiana at Monroe
Kenny Natt,Louisiana,Black,1981,1985,G,6-3,185,"October 5, 1958",University of Louisiana at Monroe
Juan Carlos Navarro,Spain,White,2008,2008,G,6-3,170,"June 13, 1980",
Craig Neal,Indiana,White,1989,1991,G,6-5,165,"February 16, 1964",Georgia Institute of Technology
Gary Neal,Maryland,Black,2011,2016,G,6-4,210,"October 3, 1984",Towson University
Ed Nealy,Kansas,White,1983,1993,F,6-7,238,"February 19, 1960",Kansas State University
Nemanja Nedovic,Serbia,White,2014,2014,G,6-3,192,"June 16, 1991",
DeMarcus Nelson,California,Black,2009,2009,G,6-4,200,"November 2, 1985",Duke University
Jameer Nelson,Pennsylvania,Black,2005,2016,G,6-0,190,"February 9, 1982",Saint Joseph's University
Ruben Nembhard,New York,Black,1997,1997,G,6-3,208,"February 20, 1972",Weber State University
Tyrone Nesby,Illinois,Black,1999,2002,F,6-6,225,"January 31, 1976","University of Nevada, Las Vegas"
Martin Nessley,Ohio,Black,1988,1988,C,7-2,260,"February 16, 1965",Duke University
Rasho Nesterovic,Slovenia,White,1999,2010,C,7-0,248,"May 30, 1976",
Raul Neto,Brazil,White,2016,2016,G,6-1,179,"May 19, 1992",
Chuck Nevitt,Colorado,White,1983,1994,C,7-5,217,"June 13, 1959",North Carolina State University
Melvin Newbern,Ohio,Black,1993,1993,G,6-4,200,"June 11, 1967",University of Minnesota
Ivano Newbill,Missouri,Black,1995,1998,F,6-9,245,"December 12, 1970",Georgia Institute of Technology
Ira Newble,Michigan,Black,2001,2008,F,6-7,220,"January 20, 1975",Miami University
Johnny Newman,Virginia,Black,1987,2002,F-G,6-7,190,"November 28, 1963",University of Richmond
Demetris Nichols,Massachusetts,Black,2008,2009,F,6-8,216,"September 4, 1984",Syracuse University
Andrew Nicholson,Canada,Black,2013,2016,F,6-9,250,"December 8, 1989",St. Bonaventure University
Gaylon Nickerson,Arkansas,Black,1997,1997,G,6-3,190,"February 5, 1969",Northwestern Oklahoma State University
Kurt Nimphius,Wisconsin,White,1982,1990,C-F,6-10,218,"March 13, 1958",Arizona State University
Dyron Nix,Mississippi,Black,1990,1990,F,6-7,210,"February 11, 1967",University of Tennessee
Norm Nixon,Georgia,Black,1978,1989,G,6-2,170,"October 11, 1955",Duquesne University
Joakim Noah,New York,Black and White,2008,2016,C,6-11,232,"February 25, 1985",University of Florida
Andres Nocioni,Argentina,White,2005,2012,F,6-7,225,"November 30, 1979",
David Noel,North Carolina,Black,2007,2007,F,6-6,230,"February 27, 1984",University of North Carolina
Nerlens Noel,Massachusetts,Black,2015,2016,F-C,6-11,228,"April 10, 1994",University of Kentucky
Lucas Nogueira,Brazil,Black,2015,2016,C,7-0,220,"July 26, 1992",
Jeff Nordgaard,Minnesota,White,1998,1998,F,6-7,225,"February 23, 1973",University of Wisconsin-Green Bay
Ken Norman,Illinois,Black,1988,1997,F,6-8,215,"September 5, 1964",University of Illinois at Urbana-Champaign
Audie Norris,Mississippi,Black,1983,1985,C,6-9,230,"December 18, 1960",Jackson State University
Moochie Norris,District of Columbia,Black,1997,2006,G,6-1,175,"July 27, 1973",University of West Florida
Steve Novak,Illinois,White,2007,2016,F,6-10,225,"June 13, 1983",Marquette University
Dirk Nowitzki,Germany,White,1999,2016,F,7-0,245,"June 19, 1978",
James Nunnally,California,Black,2014,2014,F,6-7,205,"July 14, 1990","University of California, Santa Barbara"
Jusuf Nurkic,Bosnia and Herzegovina,White,2015,2016,C,7-0,280,"August 23, 1994",
Dennis Nutt,Arkansas,Black,1987,1987,G,6-2,170,"March 25, 1963",Texas Christian University
Julius Nwosu,Nigeria,Black,1995,1995,C,6-10,255,"May 1, 1971",Liberty University
Charles O'Bannon,California,Black,1998,1999,G-F,6-5,209,"February 22, 1975","University of California, Los Angeles"
Ed O'Bannon,California,Black,1996,1997,F,6-8,222,"August 14, 1972","University of California, Los Angeles"
J.J. O'Brien,California,Black,2016,2016,F,6-7,228,"April 8, 1992",San Diego State University
Johnny O'Bryant,Mississippi,Black,2015,2016,F-C,6-9,257,"June 1, 1993",Louisiana State University
Patrick O'Bryant,Iowa,Black,2007,2010,C,7-0,260,"June 20, 1986",Bradley University
Mike O'Koren,New Jersey,White,1981,1988,F-G,6-7,207,"February 7, 1958",University of North Carolina
Jermaine O'Neal,South Carolina,Black,1997,2014,F-C,6-11,226,"October 13, 1978",
Shaquille O'Neal,New Jersey,Black,1993,2011,C,7-1,325,"March 6, 1972",Louisiana State University
Kyle O'Quinn,New York,Black,2013,2016,C,6-10,250,"March 26, 1990",Norfolk State University
Dan O'Sullivan,New York,Black,1991,1996,C,6-10,250,"March 3, 1968",Fordham University
Charles Oakley,Ohio,Black,1986,2004,F-C,6-8,225,"December 18, 1963",Virginia Union University
Fabricio Oberto,Argentina,White,2006,2011,F,6-10,245,"March 21, 1975",
Greg Oden,New York,Black,2009,2014,C,7-0,250,"January 22, 1988",Ohio State University
Lamar Odom,New York,Black,2000,2013,F,6-10,220,"November 6, 1979",University of Rhode Island
Alan Ogg,Ohio,White,1991,1993,C,7-2,240,"July 5, 1967",University of Alabama at Birmingham
Tim Ohlbrecht,Germany,White,2013,2013,C,6-11,255,"August 30, 1988",
Emeka Okafor,Texas,Black,2005,2013,C-F,6-10,252,"September 28, 1982",University of Connecticut
Jahlil Okafor,Illinois,Black,2016,2016,C,6-11,275,"December 15, 1995",Duke University
Mehmet Okur,Turkey,White,2003,2012,F-C,6-11,249,"May 26, 1979",
Victor Oladipo,Maryland,Black,2014,2016,G,6-4,210,"May 4, 1992",Indiana University
Hakeem Olajuwon*,Nigeria,Black,1985,2002,C,7-0,255,"January 21, 1963",University of Houston
Mark Olberding,Minnesota,Black,1976,1987,F,6-8,225,"April 21, 1956",University of Minnesota
Jawann Oldham,Illinois,Black,1981,1991,C,7-0,215,"July 4, 1957",Seattle University
Brian Oliver,Illinois,White,1991,1998,G,6-4,210,"June 1, 1968",Georgia Institute of Technology
Dean Oliver,Illinois,Black,2002,2003,G,5-11,180,"November 5, 1978",University of Iowa
Jimmy Oliver,Arkansas,Black,1992,1999,G-F,6-5,205,"July 12, 1969",Purdue University
Kevin Ollie,Texas,Black,1998,2010,G,6-4,195,"December 27, 1972",University of Connecticut
Michael Olowokandi,Nigeria,Black,1999,2007,C,7-0,269,"April 3, 1975",University of the Pacific
Kelly Olynyk,Canada,White,2014,2016,F,7-0,238,"April 19, 1991",Gonzaga University
Arinze Onuaku,Maryland,Black,2014,2015,F,6-9,275,"July 13, 1987",Syracuse University
Louis Orr,Ohio,Black,1981,1988,F,6-8,175,"May 7, 1958",Syracuse University
Jose Ortiz,Puerto Rico,Black,1989,1990,F,6-10,225,"October 25, 1963",Oregon State University
Daniel Orton,Oklahoma,Black,2012,2014,F,6-10,255,"August 6, 1990",University of Kentucky
Greg Ostertag,Texas,White,1996,2006,C,7-2,280,"March 6, 1973",University of Kansas
Matt Othick,New Mexico,Black,1993,1993,G,6-2,165,"March 16, 1969",University of Arizona
Kelly Oubre,Louisiana,Black,2016,2016,F,6-7,205,"December 9, 1995",University of Kansas
Bo Outlaw,Texas,Black,1994,2008,F,6-8,210,"April 13, 1971",University of Houston
Travis Outlaw,Mississippi,Black,2004,2014,F,6-9,210,"September 18, 1984",
Doug Overton,Pennsylvania,Black,1993,2004,G,6-3,190,"August 3, 1969",La Salle University
Andre Owens,Indiana,Black,2006,2008,G,6-4,200,"October 31, 1980",University of Houston
Billy Owens,Pennsylvania,Black,1992,2001,F-G,6-8,220,"May 1, 1969",Syracuse University
Chris Owens,Ohio,Black,2003,2003,F,6-7,245,"March 1, 1979",University of Texas at Austin
Keith Owens,California,Black,1992,1992,F,6-7,225,"May 31, 1969","University of California, Los Angeles"
